id,type,status,was,now,why,question
2016-Q22(a),sa,TOPIC CHANGED,Operations > Operations processes,Marketing > Marketing process,actual v planned (was Operations),• clearly provides the reason why the information is important in the 2 monitoring and controlling aspect of the marketing process • sketches the importance of the information for 
2016-Q23(a),sa,TOPIC CHANGED,Operations > Operations strategies,Human Resources > Role of human resource management,outsourcing,"• identifies one relevant advantage of outsourcing 2 • provides how/why it is an advantage for the business • makes a relevant statement 1 costs could be lower, she only needs to e"
2016-Q23(b),sa,TOPIC CHANGED,Operations > Operations strategies,Human Resources > Role of human resource management,outsourcing risks,• identifies two relevant disadvantages of outsourcing and why they are a 4 disadvantage for the business • identifies one relevant disadvantage of outsourcing and why it is a disa
2016-Q23(c),sa,TOPIC CHANGED,Finance > (untagged),Human Resources > Human resource strategies,global - skills/diversity (was Finance),• gives two reasons how and/or why heather’s business will benefit from a 4 diverse culturally competent workforce • gives one reason how and/or why heather’s business will benefit
2016-Q8,mc,TOPIC CHANGED,Marketing > (untagged),Operations > Role of operations management,interdependence of KBFs,a business plans to increase its stock to be ready for the grand opening of five new stores. this shows the interdependence between which business functions? operations and finance
2017-Q21(a),sa,TOPIC CHANGED,Marketing > Marketing strategies,Operations > Role of operations management,cost leadership/differentiation (was Marketing),• sketches in general terms the role of operations management in this 2 business • makes a statement about operations 1 operations management involves the bank being a cost leader 
2018-Q23(b),sa,TOPIC CHANGED,Operations > Operations processes + Role of operations management,Marketing > Marketing process,monitoring & controlling (was Operations),• clearly shows why monitoring and controlling are an important part of the 3 marketing process for this business • shows why monitoring and controlling are used by this business 2
2019-Q12,mc,TOPIC CHANGED,Marketing > Marketing strategies,Finance > Influences on financial management,equity - share issues (was tagged Marketing),which of the following allows shareholders of a public company to acquire additional shares at a discount? new issues placements private equity unsecured notes
2019-Q17,mc,TOPIC CHANGED,Operations > Operations processes + Operations strategies,Human Resources > Effectiveness of human resource management,accidents v output (was Operations),which business is likely to compromise work safety in return for an increase in output? a b c d
2019-Q18,mc,TOPIC CHANGED,Operations > Operations processes + Operations strategies,Human Resources > Effectiveness of human resource management,HR indicators (was Operations),which business is likely to be managing its human resources most effectively? a b c d use the following critical path diagram to answer questions 19 and 20. task e 1 day task f 1 d
2019-Q21(a),sa,TOPIC CHANGED,Operations > Influences + Operations strategies,Marketing > Influences on marketing,sociocultural (was Operations),• provides characteristics and features of one factor influencing customer 3 choice for this business • sketches in general terms one factor influencing customer choice for this 2 
2019-Q21(c),sa,TOPIC CHANGED,Operations > Influences + Operations strategies,Marketing > Marketing process,market research (was Operations),• clearly shows why market research is important for this business 4 • shows why market research is important for this business 3 • sketches market research in general terms 2 • pr
2019-Q23(b),sa,TOPIC CHANGED,Marketing > Marketing strategies,Human Resources > Key influences,awards (was Marketing),• demonstrates a clear understanding of the differences between awards 4 and enterprise agreements • demonstrates an understanding of the differences between awards and 3 enterpris
2020-Q21(c),sa,TOPIC CHANGED,Operations > Influences + Operations strategies + Role of operations management,Human Resources > Key influences,technological influence,• provides why and/or how technological influences and globalisation can lead to a company reducing staff numbers with reference to relevant 4 examples • provides characteristics a
2020-Q22(c),sa,TOPIC CHANGED,Operations > Influences + Operations strategies,Marketing > Marketing strategies,global standardisation (was Operations),• provides a clear and supported argument for the use of a standardised 4 marketing strategy by this business • provides an argument for the use of a standardised marketing strateg
2020-Q9,mc,TOPIC CHANGED,Marketing > Influences on marketing,Human Resources > Key influences,economic cycle -> staff hours (was Marketing),at which stage of the economic cycle is it most likely for a business to begin to reduce staff working hours? boom downswing recession upswing
2021-Q17,mc,TOPIC CHANGED,Finance > (untagged),Human Resources > Processes of human resource management,separation/unfair dismissal (was Finance),joe was made redundant by his employer but believes that he was dismissed unfairly. he takes his case to a lawyer. what evidence would effectively support the employer’s decision? 
2021-Q20,mc,TOPIC CHANGED,Operations > Operations strategies,Finance > Processes of financial management,limitations of financial reports (was Operations),company a intends to buy company b. company a might pay too much for company b if company b’s financial manager decides to normalise a large one-off asset sale. capitalise their re
2022-Q13,mc,TOPIC CHANGED,Operations > Influences,Finance > Influences on financial management,global market influences (was Operations),which combination of global market influences would support a business’s decision to expand globally? adepressed economic outlook and low interest rates adepressed economic outlook
2022-Q19,mc,TOPIC CHANGED,Finance > (untagged),Operations > Role of operations management,interdependence of KBFs (was Finance),a large cake business is going to offer a contract to another business to make their cake decorations. which business functions would provide input into the contract details? finan
2022-Q21(c),sa,TOPIC CHANGED,Finance > Role of financial management,Operations > Operations processes,process layout (was Finance),• provides detailed similarities and/or differences about the efficiency and 4 profitability of each layout • provides some similarities and/or differences about efficiency and 3 p
2022-Q22(a),sa,TOPIC CHANGED,Finance > Role of financial management,Human Resources > Key influences,minimum wage (was Finance),• sketches in general terms the effect an increase in the minimum wage 2 has on business • makes a general statement about minimum wage 1 an increase in the minimum wage is likely 
2022-Q22(d),sa,TOPIC CHANGED,Marketing > Marketing strategies,Human Resources > Processes of human resource management,induction (was Marketing),• provides why and/or how an induction program for new employees is 3 important • provides characteristics and features of the induction process for new 2 employees • makes a relev
2022-Q9,mc,TOPIC CHANGED,Finance > (untagged),Human Resources > Human resource strategies,dispute resolution (was Finance),an employee has been bullied at work and has lodged a complaint. what initial action should the employer take to resolve this dispute? arbitration conciliation mediation negotiatio
2023-Q16,mc,TOPIC CHANGED,Operations > Operations processes + Operations strategies,Finance > Processes of financial management,net profit ratio (was Operations),the table shows extracts from the financial statements of a business for 2022. ($) sales 300 000 cost of goods sold 200 000 gross profit 100 000 expenses 40 000 what is the net pro
2023-Q6,mc,TOPIC CHANGED,Operations > (untagged),Human Resources > Key influences,economic influence on HR (was Operations),a mattress manufacturer reduced the working hours of its factory workers due to a decrease in demand. which influence on human resources is most likely to have led to this? economi
2024-Q12,mc,TOPIC CHANGED,Operations > Influences,Human Resources > Key influences,employment contracts (was Operations),a global business is considering replacing its operations manager for its european division. what type of employment offer would suit this position? casual contract individual cont
2024-Q22(b),sa,TOPIC CHANGED,Operations > Influences,Human Resources > Key influences,ethics & CSR (was Operations),• provides an explanation of how this business exhibits corporate social 3 responsibility in the management of employees • demonstrates some understanding of how this business exhi
2024-Q5,mc,TOPIC CHANGED,Marketing > Marketing strategies,Human Resources > Effectiveness of human resource management,HR indicators (was Marketing),which row of the table shows the results of effective human resource management? workplace accidents absenteeism increase decrease increase increase decrease decrease decrease incr
2024-Q6,mc,TOPIC CHANGED,Finance > (untagged),Operations > Influences,government policy / sustainability (was Finance),a government is providing businesses with a tax benefit if they source their electricity through renewable energy sources. the most likely reason for offering this tax benefit is t
2024-Q7,mc,TOPIC CHANGED,Human Resources > (untagged),Operations > Role of operations management,customised service (was HR),an employee has badly injured their shoulder at work and is seeing a physiotherapist for treatment. the treatment that the physiotherapist provides can be described as a customised
2025-Q17,mc,TOPIC CHANGED,Marketing > Marketing strategies,Human Resources > Key influences,WHS / injury management (was Marketing),a chef’s finger has been cut off during a workplace accident. which of the following steps should the employer take? step one step two step three work site is assessed employee tak
2025-Q2,mc,TOPIC CHANGED,Operations > (untagged),Marketing > Role of marketing,types of markets (was Operations),a dealership customises the caravans it sells by putting solar panels on the roof. which type of market does this business operate in? mass niche production resource
2025-Q24(a),sa,TOPIC CHANGED,Operations > Influences,Human Resources > Key influences,technological influence (was Operations),• describes the influence of technology on the human resources function 3 • outlines the influence of technology on the human resources function 2 • provides some relevant informat
2025-Q24(b),sa,TOPIC CHANGED,Marketing > Marketing strategies,Human Resources > Key influences,unions (was Marketing),• explains two possible reasons for employers discouraging employees 3 from joining a union • outlines two possible reasons or 2 • explains one possible reason • provides some rele
2012-Q1,mc,subtopic changed,Operations > Influences + Operations strategies,Operations > Operations strategies,"outsourcing; ""Influences"" came from the word ""global"" in a distractor",an accountant decides to use the services of a cleaning company for one day per week. what is this an example of? development downsizing global contracting outsourcing
2012-Q14,mc,subtopic changed,Operations > Operations processes + Operations strategies,Operations > Operations processes,critical path analysis,the diagram below shows a critical path analysis for a project. t d a t a s k 1 d a y 3 d a y s s k h task e task i task j finish 2 days 4 days 2 days t a s k b 3 d a y s tt 33 aa 
2012-Q15,mc,subtopic changed,Marketing > Marketing process + Marketing strategies,Marketing > Marketing strategies,market segmentation,a gym has fitness-conscious office workers as its target market. what type of market segmentation is this? geographic and behavioural geographic and demographic psychographic and b
2012-Q18,mc,subtopic changed,Marketing > (untagged),Marketing > Marketing process,market objectives / market share data,in 2011 star car pty ltd’s main marketing objective was to take sales away from its competitors. in which country was this objective least effective? a b c d
2012-Q19,mc,subtopic changed,Marketing > (untagged),Marketing > Marketing process,market share data interpretation,"for the period 2010 to 2011, which of the following statements is true? the size of the total car market in each country did not change. in country a, both the total car market and"
2012-Q20,mc,subtopic changed,Finance > Influences on financial management,Finance > Financial management strategies,exchange rates (appreciation),which of the following groups would suffer the worst financial impact as a result of an increase in the value of the australian dollar? japanese shareholders of an australian bank 
2012-Q21(a),sa,subtopic changed,Operations > (untagged),Operations > Influences,CSR benefits,• provides how ethically and socially responsible behaviour leads to at least 4 two benefits for a business • provides how ethically and socially responsible behaviour leads to one
2012-Q21(b),sa,subtopic changed,Operations > Influences + Operations strategies,Operations > Influences,resistance to meeting CSR,• provides a thorough explanation as to why a business may be resistant to 4 meeting its corporate social responsibilities • provides a general explanation why a business may be re
2012-Q22(a),sa,subtopic changed,Finance > Influences on financial management + Processes of financial management,Finance > Processes of financial management,current ratio,• shows correct working and answer for current ratio 2 • states correct working but incorrect final calculation 1 or • provides correct answer only influences on financial manageme
2012-Q22(b),sa,subtopic changed,Finance > Influences on financial management + Processes of financial management,Finance > Processes of financial management,debt to equity,• shows correct answer for debt to equity ratio 2 • states correct working but incorrect final calculation 1 or • provides correct answer only influences on financial management
2012-Q22(c),sa,subtopic changed,Finance > Influences on financial management + Processes of financial management,Finance > Processes of financial management,gearing impact,• provides a reason/s why the debt to equity ratio impacts on business 4 performance • shows a link between a business and its debt to equity ratio 3 • shows some understanding of 
2012-Q22(d),sa,subtopic changed,Finance > Influences on financial management + Processes of financial management,Finance > Role of financial management,interdependence finance/operations,• provides how and/or why finance and operations are interdependent and 4 supports answer with at least two relevant examples • provides characteristics and features of the interde
2012-Q4,mc,subtopic changed,Operations > (untagged),Operations > Operations processes,inputs -> transformation -> outputs (was untagged),which of the following is the correct sequence for an operations process? facilities – controls – waste materials – design – product information – services – improvement human reso
2012-Q6,mc,subtopic changed,Marketing > Marketing strategies + Role of marketing,Marketing > Role of marketing,production/selling/marketing approaches,a business develops a shirt made from fabric which never stains or looks crushed. it then runs an advertising campaign to inform people about this product. what type of approach is
2012-Q8,mc,subtopic changed,Finance > Processes of financial management,Finance > Financial management strategies,cost controls to lift gross profit,what would be the best strategy for a business to increase its gross profit? use cost centres reduce fixed costs minimise expenses use sale and leaseback
2012-Q9,mc,subtopic changed,Human Resources > (untagged),Human Resources > Effectiveness of human resource management,turnover/absenteeism indicators,information about four companies is shown in the table. company a company b company c company d staff turnover 15 11 11 15 (% of workforce) output per worker 8 12 8 12 (products pe
2013-Q11,mc,subtopic changed,Marketing > Marketing strategies,Marketing > Influences on marketing,sugging = ethical,"sam is asked by a company to participate in a survey on home security. after a few questions, she is asked if she would like to purchase a burglar alarm from the company. what stra"
2013-Q14,mc,subtopic changed,Operations > Influences + Operations processes,Operations > Operations processes,transforming resources,which of the following includes two examples of transforming resources? materials and energy information and customers task design and technology human resources and facilities
2013-Q15,mc,subtopic changed,Marketing > Marketing strategies,Marketing > Role of marketing,selling approach,company xyz allocates most of its marketing budget to advertising. what approach has xyz adopted? selling approach market approach customer approach production approach
2013-Q16,mc,subtopic changed,Finance > (untagged),Finance > Processes of financial management,capitalised expenses = limitation of reports,auditors have discovered that the value of legal fees paid has been included in the asset value of a new warehouse purchased by a business. what limitation of financial reports doe
2013-Q19,mc,subtopic changed,Marketing > (untagged),Marketing > Marketing process,planned v actual variance = monitoring & controlling,the following is an extract from the end of year marketing report for a business. planned actual variance sales sales from target ($) ($) (%) region a 1 200 000 1 000 000 salespers
2013-Q2,mc,subtopic changed,Marketing > (untagged),Marketing > Role of marketing,types of markets - intermediate,an overseas factory sells 200000 teddy bears a year to toy stores across australia. what type of market is the overseas factory targeting? consumer intermediate niche resource
2013-Q20,mc,subtopic changed,Human Resources > Human resource strategies + Processes of human resource management,Human Resources > Human resource strategies,developmental performance management,which of the following is an example of developmental performance management? reviewing the reward system for all employees evaluating an online payroll system for employees improv
2013-Q22(a),sa,subtopic changed,Human Resources > Processes of human resource management,Human Resources > Effectiveness of human resource management,staff turnover indicator,• sketches in general terms an indicator that can be used to assess the 2 effectiveness of human resources • makes a general statement about human resources management 1 mk pty ltd
2013-Q22(b),sa,subtopic changed,Finance > Influences on financial management + Processes of financial management,Finance > Influences on financial management,sources of finance for takeover,• identifies issues and provides points for and/or against a source of finance 4 to fund the takeover • provides characteristics and features of a source of finance • provides one 
2013-Q23(b),sa,subtopic changed,Operations > Operations strategies + Role of operations management,Operations > Operations strategies,performance objectives,• provides a performance objective and shows how and/or why it relates to 3 the operations function of the business • sketches in general terms a performance objective 2 • makes a 
2013-Q24(a),sa,subtopic changed,Finance > Influences on financial management,Finance > Financial management strategies,letter of credit,• provides characteristics and features of an appropriate method which 3 could be used to ensure payment • sketches in general terms an appropriate method of payment 2 • names a me
2013-Q24(b),sa,subtopic changed,Finance > Financial management strategies + Influences on financial management,Finance > Financial management strategies,hedging / derivatives,• provides characteristics and features of a strategy and demonstrates how the business could use this strategy to protect itself against currency 4 fluctuations • provides charact
2013-Q25(a),sa,subtopic changed,Marketing > Marketing process + Marketing strategies + Role of marketing,Marketing > Marketing process,market research,• sketches in general terms one appropriate method that could be used by 2 this business to collect data about its target market • names a method that could be used to collect data
2013-Q4,mc,subtopic changed,Finance > Processes of financial management + Role of financial management,Finance > Processes of financial management,expense ratio = efficiency,what does the expense ratio measure? efficiency growth profitability solvency
2013-Q5,mc,subtopic changed,Operations > Influences + Operations strategies,Operations > Operations strategies,global sourcing,a company’s policy is to purchase from lowest­cost suppliers regardless of their location. what is this policy an example of? global sourcing global branding economies of scale res
2013-Q6,mc,subtopic changed,Finance > Processes of financial management,Finance > Financial management strategies,working capital - sale and lease back,which of the following would immediately improve the working capital of a business? increasing credit sales using sale and lease back preparing a cash flow statement repaying debt 
2013-Q7,mc,subtopic changed,Finance > Influences on financial management + Processes of financial management,Finance > Influences on financial management,SWOT over financial externals,which of the following includes both an opportunity and a threat from a swot analysis? low interest rates and high gearing loyal employees and outdated technology excellent managem
2013-Q8,mc,subtopic changed,Operations > Operations processes + Operations strategies,Operations > Operations processes,critical path,what does a critical path identify? the lowest cost path to complete all tasks in a project the highest cost path to complete all tasks in a project the longest time required to co
2013-Q9,mc,subtopic changed,Marketing > Marketing process + Marketing strategies,Marketing > Marketing strategies,price skimming,what is the most likely reason that a business would use price skimming? to encourage export sales to achieve market share quickly to gain high profits when demand is strong to rev
2014-Q14,mc,subtopic changed,Finance > Processes of financial management,Finance > Influences on financial management,debentures = external debt finance,"why would a business choose debentures as a source of funding? to reduce financial risk to provide security over assets to retain ownership and control to obtain cheap, short-term "
2014-Q16,mc,subtopic changed,Human Resources > Processes of human resource management,Human Resources > Key influences,recession = economic influence,what is the most likely impact of a recession on human resources? increase in wages increase in overtime decrease in involuntary separation decrease in employee bargaining power
2014-Q19,mc,subtopic changed,Finance > Role of financial management,Finance > Processes of financial management,comparative ratio analysis - liquidity,which of the following statements is true about liquidity for kerry’s warehouse in 2014? it is better than industry average and has improved since 2013. it is better than industry 
2014-Q21(b),sa,subtopic changed,Operations > Operations processes + Operations strategies,Operations > Operations processes,sequencing and scheduling,• draws out and relates the implications of using sequencing and scheduling 6 to improve business operations • defines scheduling and sequencing and shows the relationship between 
2014-Q23(b),sa,subtopic changed,Human Resources > Human resource strategies + Key influences + Processes of human resource management,Human Resources > Processes of human resource management,maintenance,• provides how maintenance can be used to improve business performance 6 with reference to a specific example • provides how maintenance can be used to improve business performance
2014-Q24(b),sa,subtopic changed,Finance > Financial management strategies + Influences on financial management,Finance > Influences on financial management,government influence,• makes the relationship evident between government influences and 4 financial management • makes the relationship evident between one government influence and financial management
2014-Q24(c),sa,subtopic changed,Finance > Financial management strategies + Influences on financial management + Role of financial management,Finance > Financial management strategies,factoring,• identifies issues and provides points for and/or against factoring as a 4 strategy for cash flow management • provides characteristics and features of factoring and provides one 
2015-Q1,mc,subtopic changed,Marketing > (untagged),Marketing > Role of marketing,resource market,in what type of market do wheat farmers sell their products? industrial intermediate niche resource
2015-Q11,mc,subtopic changed,Human Resources > Human resource strategies + Key influences,Human Resources > Human resource strategies,performance pay,which of the following is an example of a business using performance pay? emily is paid penalty rates for working on a public holiday. mike receives a gift voucher from his supervi
2015-Q13,mc,subtopic changed,Operations > Operations processes + Operations strategies,Operations > Influences,compliance costs = legal regulation,the term compliance costs refers to expenses associated with meeting competitor prices. legal requirements. consumer demands. supplier constraints. refer to the critical path diagr
2015-Q14,mc,subtopic changed,Operations > Operations processes + Operations strategies,Operations > Operations processes,critical path length,what is the length of the critical path for this project? 9 days 14 days 18 days 27 days
2015-Q18,mc,subtopic changed,Operations > Influences + Role of operations management,Operations > Role of operations management,cost leadership,which of the following would be the focus of a business aiming to reduce expenses? changing task design differentiating its product establishing cost leadership developing quality 
2015-Q19,mc,subtopic changed,Marketing > Marketing process + Marketing strategies,Marketing > Marketing strategies,global standardisation,why might a business adopt a standardised global approach to marketing? to cater for local tastes to minimise risk by hedging to increase market segmentation to take advantage of e
2015-Q2,mc,subtopic changed,Human Resources > Human resource strategies + Processes of human resource management,Human Resources > Processes of human resource management,acquisition,which of the following occurs during the acquisition stage of the human resources management process? training induction developing a job description conducting performance managem
2015-Q20,mc,subtopic changed,Marketing > (untagged),Marketing > Marketing process,market share from viewer data,"the table shows, for 2014 and 2015, the number of viewers of four television programs and the total number of viewers at the times when the programs were shown. 2014 2015 program p"
2015-Q23(a),sa,subtopic changed,Operations > Influences + Operations processes + Role of operations management,Operations > Operations processes,technology in the transformation process,• provides how technology influences the transformation process at north 2 coast manufacturing • provides some relevant information about the transformation process or 1 technology
2015-Q23(b),sa,subtopic changed,Operations > Role of operations management,Operations > Operations processes,process layout,• provides how and/or why two factors may influence the process layout 4 • provides how and/or why one factor may influence the process layout and 3 identifies a second factor • pr
2015-Q23(c),sa,subtopic changed,Operations > Operations processes + Role of operations management,Operations > Operations processes,monitoring,• provides a method of monitoring with a reason in favour of that method 2 • makes a relevant statement 1 one method of monitoring the effectiveness of the new layout would be to c
2015-Q24(a),sa,subtopic changed,Finance > Influences on financial management + Processes of financial management,Finance > Processes of financial management,limitations of financial reports,• identifies a limitation of this financial report and provides a reason why it 3 is a limitation • sketches in general terms a limitation of this financial report 2 • makes a rele
2015-Q24(b),sa,subtopic changed,Finance > Influences on financial management + Processes of financial management,Finance > Processes of financial management,gearing,• clearly provides points for and/or against the gearing level of andrew’s 5 discount tyres • provides points for and/or against the gearing level of andrew’s discount 4 tyres • pr
2015-Q25(a),sa,subtopic changed,Human Resources > Human resource strategies,Human Resources > Effectiveness of human resource management,,• makes a judgement that human resources management is partially 4 effective and clearly supports this judgement with the data • makes a judgement that human resources management i
2015-Q25(b),sa,subtopic changed,Finance > Financial management strategies + Processes of financial management + Role of financial management,Finance > Financial management strategies + Role of financial management,,"• using the data, draws out and relates the implications of the interdependence between human resources management and profitability 6 management in this business • using the data,"
2015-Q9,mc,subtopic changed,Operations > Operations processes + Operations strategies,Operations > Operations strategies,performance objective - cost,a business wants to minimise the volume of its waste. which performance objective is the business trying to achieve? cost customisation flexibility speed
2016-Q10,mc,subtopic changed,Finance > Influences on financial management + Processes of financial management,Finance > Processes of financial management,cash flow statement,the table shows cash flow information for a business. jan feb march april opening balance ($) 4 000 cash in ($) 20 000 20 000 20 000 24 000 cash out ($) 14 000 50 000 24 000 26 000
2016-Q11,mc,subtopic changed,Finance > (untagged),Finance > Processes of financial management,balance sheet / owner's equity,"if steve is a sole trader, how much equity does he have in the business? $12 800 $35 500 $135 500 $146 000"
2016-Q2,mc,subtopic changed,Human Resources > Human resource strategies,Human Resources > Processes of human resource management,unfair dismissal = separation,"ruth observed that a work colleague was stealing and reported the theft to her supervisor. as a result, ruth’s employment was terminated. what is this an example of? performance ma"
2016-Q21(b),sa,subtopic changed,Finance > Influences on financial management + Processes of financial management,Finance > Influences on financial management,internal v external finance,• provides points for and/or against one internal and one external source of 6 finance for this purchase • provides points for and/or against one internal source and provides a poi
2016-Q6,mc,subtopic changed,Operations > Influences + Operations strategies,Operations > Operations strategies,economies of scale,a global business has adopted a strategy which aims to lower the average cost of its product by increasing output. what is this strategy called? outsourcing global pricing global s
2017-Q1,mc,subtopic changed,Human Resources > Human resource strategies,Human Resources > Role of human resource management,,a recruitment officer is employed by a business. in which specific business function are they most likely to be engaged? finance human resources marketing operations
2017-Q10,mc,subtopic changed,Marketing > Influences on marketing + Marketing strategies,Marketing > Influences on marketing,price discrimination,"salty sunscreens sells the following sunscreens, both containing the same ingredients. salty salty sunscreen sunscreen for for teenagers adults 200 ml 200 ml $15 $10 this is an exa"
2017-Q11,mc,subtopic changed,Human Resources > (untagged),Human Resources > Key influences,employer associations (stakeholders),"whose interests is an organisation most likely to be representing when it meets with government to discuss business flexibility, expansion and competitiveness? employees employers "
2017-Q13,mc,subtopic changed,Finance > (untagged),Finance > Financial management strategies,factoring for cash flow,why would a business factor its accounts receivables? to improve cash flow to increase owner’s equity to increase the value of current assets to improve the value of the business
2017-Q14,mc,subtopic changed,Marketing > (untagged),Marketing > Role of marketing,types of markets - industrial,in which type of market would a large scale manufacturer of pasta purchase flour for its products? consumer industrial mass resource
2017-Q16,mc,subtopic changed,Operations > Influences + Role of operations management,Operations > Influences,corporate social responsibility,which of the following actions is an example of corporate social responsibility? sponsoring a sporting event opening a manufacturing plant introducing a community health program pa
2017-Q19,mc,subtopic changed,Human Resources > Processes of human resource management,Human Resources > Key influences,social influence on work practices,a business implements a new policy that limits the use of work-related email accounts before 8 am and after 8 pm. which consideration has most likely led to the development of this
2017-Q21(b),sa,subtopic changed,Operations > Influences + Operations processes,Operations > Operations processes,transforming resources,• clearly provides why and/or how improving operations processes may 4 lead to better customer service • provides why and/or how improving operations processes may lead to 3 better
2017-Q22(a),sa,subtopic changed,Marketing > Marketing process,Marketing > Influences on marketing,ethical marketing,• gives detailed reason/s why ethical behaviour is important in the 4 marketing of this business • gives reason/s why ethical behaviour is important in the marketing of this 3 busi
2017-Q22(b),sa,subtopic changed,Marketing > Influences on marketing + Marketing strategies,Marketing > Influences on marketing,consumer laws in advertising,• clearly provides why and/or how one area of consumer law influences the 5 company’s promotion strategies • provides why and/or how one aspect of consumer law influences the 4 com
2017-Q23(a),sa,subtopic changed,Human Resources > Human resource strategies + Key influences,Human Resources > Key influences,employment contracts,• provides characteristics and features of one monetary reward offered 2 during the recruitment process • shows an understanding of one monetary reward 1 a salary is paid to the re
2017-Q23(b),sa,subtopic changed,Human Resources > Processes of human resource management,Human Resources > Human resource strategies,recruitment,• sketches in general terms an issue that could arise during the acquisition 2 process • makes a statement about acquisition 1 one issue that may arise is the lack of suitable appl
2017-Q23(c),sa,subtopic changed,Human Resources > Human resource strategies + Processes of human resource management,Human Resources > Effectiveness of human resource management,levels of disputation,• provides detailed reasons in favour of two indicators that could be used 6 to measure the effectiveness of human resource management • provides reasons in favour of two indicator
2017-Q24(a),sa,subtopic changed,Finance > Influences on financial management,Finance > Financial management strategies,exchange rates,• makes clear that the appreciation of the australian dollar reduces costs 2 and affects the business’s competitive position • makes a general statement about the effects of an app
2017-Q24(b),sa,subtopic changed,Finance > Processes of financial management,Finance > Financial management strategies,international payment methods,• supports in detail a method of payment that reduces the business’s 5 financial risk with clear argument or conclusion • provides why and/or how a method of payment reduces the bu
2017-Q8,mc,subtopic changed,Marketing > Influences on marketing + Marketing strategies,Marketing > Influences on marketing,implied conditions,a customer returns a chainsaw to the place of purchase as it does not cut branches. on what basis must the business refund the cost of the chainsaw? implied conditions ethical cons
2018-Q10,mc,subtopic changed,Marketing > Marketing strategies,Marketing > Role of marketing,marketing approach,which approach is being used when a business creates a focus group to evaluate a product? marketing production selling standardisation
2018-Q13,mc,subtopic changed,Operations > Influences + Operations strategies + Role of operations management,Operations > Operations strategies,logistics,sani works for a large manufacturing business. she organises the transport of raw materials and finished products across australia. which of the following describes her area of res
2018-Q14,mc,subtopic changed,Marketing > Marketing strategies,Marketing > Influences on marketing,ethical - products that damage health,recently a business has removed one of its products from sale because it may contain toxic ingredients that could pose a health risk. what is the most likely influence on this mark
2018-Q15,mc,subtopic changed,Operations > Operations strategies + Role of operations management,Operations > Operations strategies,outsourcing,what is a benefit to an australian clothing company of outsourcing its manufacturing overseas? it can control the production costs. it can lower human resource compliance costs. it
2018-Q16,mc,subtopic changed,Operations > Influences + Operations processes,Operations > Operations processes,transformed resources,"which of the following lists three examples of transformed resources? customers, information, materials facilities, information, technology customers, human resources, materials fa"
